CITY,TEAM,LEAGUE,YEAR,HOME_GMS,HOME_AVG,HOME_PCT,ROAD_GMS,ROAD_AVG,ROAD_PCT,OVR_GMS,OVR_AVG,OVR_PCT
Jacksonville,Jaguars,NFL,2009,8,"49,651",73.9,8,"69,243",98.5,16,"59,447",86.5
Detroit,Lions,NFL,2009,8,"49,395",76.6,8,"67,064",98.4,16,"58,230",87.8
Oakland,Raiders,NFL,2009,8,"44,284",70.3,8,"71,657",96.6,16,"57,971",84.5
Dallas,Cowboys,NFL,2010,8,"87,047",108.8,8,"72,699",100.9,16,"79,873",105.1
Washington,Redskins,NFL,2010,8,"83,172",90.7,8,"66,047",94.7,16,"74,609",92.4
New York,NY Giants,NFL,2010,8,"79,019",95.8,8,"69,867",96.7,16,"74,443",96.2
New York,Jets,NFL,2010,8,"78,596",95.3,8,"66,825",95.9,16,"72,710",95.6
Denver,Broncos,NFL,2010,8,"74,908",98.4,7,"63,749",92.6,15,"69,700",95.8
Charlotte,Panthers,NFL,2010,8,"72,620",98.4,8,"62,992",89.5,16,"67,806",94.1
Baltimore,Ravens,NFL,2010,8,"71,227",100.3,8,"69,202",96.9,16,"70,214",98.6
Houston,Texans,NFL,2010,8,"71,080",100,8,"67,497",93.1,16,"69,289",96.5
Green Bay,Packers,NFL,2010,8,"70,795",97.1,8,"69,538",97.3,16,"70,166",97.2
New Orleans,Saints,NFL,2010,8,"70,038",96,8,"69,103",98.6,16,"69,570",97.3
San Francisco,49ers,NFL,2010,7,"69,732",99.3,8,"66,046",94.1,15,"67,766",96.5
Philadelphia,Eagles,NFL,2010,8,"69,144",102.3,8,"71,596",97.6,16,"70,370",99.9
Nashville,Titans,NFL,2010,8,"69,143",100,8,"70,265",95.8,16,"69,704",97.8
Boston,Patriots,NFL,2010,8,"68,756",100,8,"67,338",95.1,16,"68,047",97.5
Atlanta,Falcons,NFL,2010,8,"67,850",95.2,8,"64,173",93.3,16,"66,011",94.3
Miami,Dolphins,NFL,2010,8,"67,744",90.1,8,"66,886",95.4,16,"67,315",92.7
Kansas City,Chiefs,NFL,2010,8,"67,672",88.2,8,"66,050",96.1,16,"66,861",91.9
Seattle,Seahawks,NFL,2010,8,"66,992",100,8,"59,192",88.0,16,"63,092",94.0
Indianapolis,Colts,NFL,2010,8,"66,975",106.3,8,"69,747",97.1,16,"68,361",101.4
Cleveland,Browns,NFL,2010,8,"66,116",90.3,8,"61,121",88.0,16,"63,619",89.2
Los Angeles,Rams,NFL,2010,8,"65,530",91.9,8,"63,059",92.1,16,"64,294",92.0
Buffalo,Bills,NFL,2010,7,"63,195",86.5,8,"67,692",93.9,15,"65,593",90.4
Pittsburgh,Steelers,NFL,2010,8,"63,083",97.1,8,"68,130",96.3,16,"65,607",96.7
Jacksonville,Jaguars,NFL,2010,8,"63,032",93.8,8,"69,667",95.0,16,"66,350",94.4
Phoenix,AZ Cardinals,NFL,2010,8,"62,774",99,8,"65,066",93.0,16,"63,920",95.9
Chicago,Bears,NFL,2010,8,"62,195",101.1,7,"67,793",95.1,15,"64,807",98.1
Cincinnati,Bengals,NFL,2010,8,"60,364",92.1,8,"68,866",96.9,16,"64,615",94.6
Minneapolis,Vikings,NFL,2010,8,"58,751",94.1,8,"69,973",96.1,16,"64,362",95.2
Detroit,Lions,NFL,2010,8,"56,285",87.3,8,"65,866",91.6,16,"61,076",89.6
Los Angeles,Chargers,NFL,2010,8,"52,922",81,8,"60,976",89.9,16,"56,949",85.5
Tampa,Buccaneers,NFL,2010,8,"49,314",75.1,8,"67,812",93.6,16,"58,563",84.8
Oakland,Raiders,NFL,2010,8,"46,431",73.7,8,"67,491",96.6,16,"56,961",85.7
Dallas,Cowboys,NFL,2011,8,"85,512",106.9,8,"71,859",97.1,16,"78,685",102.2
New York,NY Giants,NFL,2011,8,"79,475",96.3,8,"74,544",99.9,16,"77,009",98.0
New York,Jets,NFL,2011,8,"78,986",95.7,8,"69,438",94.7,16,"74,212",95.3
Washington,Redskins,NFL,2011,8,"76,921",83.9,7,"70,199",96.1,15,"73,784",88.9
Denver,Broncos,NFL,2011,8,"75,327",99,8,"63,374",89.6,16,"69,350",94.5
New Orleans,Saints,NFL,2011,8,"73,042",100.1,8,"65,199",94.9,16,"69,120",97.6
Charlotte,Panthers,NFL,2011,8,"72,292",98,8,"65,030",97.5,16,"68,661",97.8
Kansas City,Chiefs,NFL,2011,8,"72,082",93.9,8,"66,318",96.3,16,"69,200",95.1
Houston,Texans,NFL,2011,8,"71,496",100.6,8,"60,966",88.7,16,"66,231",94.8
Baltimore,Ravens,NFL,2011,8,"71,224",100.3,8,"64,263",94.6,16,"67,743",97.5
Green Bay,Packers,NFL,2011,8,"70,512",96.7,8,"69,865",98.8,16,"70,188",97.7
San Francisco,49ers,NFL,2011,8,"69,732",99.3,8,"63,430",91.3,16,"66,581",95.3
Philadelphia,Eagles,NFL,2011,8,"69,144",102.3,8,"72,002",95.0,16,"70,573",98.5
Nashville,Titans,NFL,2011,8,"69,143",100,8,"65,569",94.1,16,"67,356",97.0
Atlanta,Falcons,NFL,2011,8,"68,986",96.8,8,"65,191",96.7,16,"67,088",96.8
Boston,Patriots,NFL,2011,8,"68,756",100,8,"70,580",95.0,16,"69,668",97.4
