YEAR_RANK,YEAR,TEAM,HOME_GMS,TOTAL,AVG,PCT,ROAD_GMS,TOTAL,AVG,PCT,OVERALL_GMS,TOTAL,AVG,PCT
20,2017,Titans,8,"525,214","65,651",95,8,"514,905","64,363",95,16,"1,040,119","65,007",95
21,2017,Jaguars,8,"514,427","64,303",95.6,8,"535,141","66,892",95.4,16,"1,049,568","65,598",95.5
22,2017,AZ Cardinals,8,"513,741","64,217",98.8,8,"549,343","68,667",94.3,16,"1,063,084","66,442",96.4
23,2017,Lions,8,"513,100","64,137",98.7,8,"533,665","66,708",93.8,16,"1,046,765","65,422",96.1
24,2017,Browns,8,"511,060","63,882",87.3,8,"456,947","57,118",98.2,16,"968,007","60,500",92.1
25,2017,Colts,8,"507,525","63,440",100.7,8,"514,517","64,314",89.1,16,"1,022,042","63,877",94.5
26,2017,Rams,8,"507,136","63,392",67.7,8,"555,125","69,390",93.7,16,"1,062,261","66,391",79.2
27,2017,Steelers,8,"499,768","62,471",91.3,8,"536,723","67,090",98.2,16,"1,036,491","64,780",94.8
28,2017,Bears,8,"489,137","61,142",99.4,8,"533,082","66,635",95.3,16,"1,022,219","63,888",97.2
29,2017,Buccaneers,8,"479,618","59,952",91,8,"557,343","69,667",97,16,"1,036,961","64,810",94.1
30,2017,Raiders,8,"462,201","57,775",91.5,8,"527,346","65,918",102.5,16,"989,547","61,846",97
31,2017,Bengals,8,"426,207","53,275",81.3,8,"552,316","69,039",96.7,16,"978,523","61,157",89.3
32,2017,Chargers,8,"202,687","25,335",-,8,"580,680","72,585",94.6,16,"783,367","48,960",127.6
1,2018,Cowboys,8,"732,958","91,619",91.6,8,"570,435","71,304",97.2,16,"1,303,393","81,462",94
2,2018,Jets,8,"623,856","77,982",94.5,8,"506,967","63,370",95.1,16,"1,130,823","70,676",94.8
3,2018,Packers,8,"622,677","77,834",95.6,8,"541,165","67,645",92.4,16,"1,163,842","72,740",94.1
4,2018,NY Giants,8,"615,525","76,940",93.3,8,"567,607","70,950",94,16,"1,183,132","73,945",93.6
5,2018,Broncos,8,"611,571","76,446",100.4,8,"480,753","60,094",93.9,16,"1,092,324","68,270",97.4
6,2018,Chiefs,8,"607,780","75,972",99.4,8,"499,596","62,449",95.5,16,"1,107,376","69,211",97.6
7,2018,Panthers,8,"590,182","73,772",100,8,"512,574","64,071",90.6,16,"1,102,756","68,922",95.4
8,2018,Saints,8,"584,411","73,051",100.1,8,"563,289","70,411",93.8,16,"1,147,700","71,731",96.9
9,2018,Falcons,8,"583,184","72,898",97.2,8,"535,959","66,994",92.2,16,"1,119,143","69,946",94.7
10,2018,Rams,8,"579,439","72,429",77.4,8,"522,970","65,371",98.1,16,"1,102,409","68,900",86
11,2018,Texans,8,"574,439","71,804",99.7,8,"538,041","67,255",93.4,16,"1,112,480","69,530",96.6
12,2018,Ravens,8,"563,451","70,431",99.2,8,"489,932","61,241",93.7,16,"1,053,383","65,836",96.6
13,2018,Eagles,8,"557,568","69,696",100.1,8,"592,169","74,021",93.4,16,"1,149,737","71,858",96.6
14,2018,49ers,8,"553,190","69,148",100.9,8,"499,264","62,408",91.7,16,"1,052,454","65,778",96.3
15,2018,Seahawks,8,"552,009","69,001",100.4,8,"566,093","70,761",101.3,16,"1,118,102","69,881",100.8
16,2018,Vikings,8,"534,491","66,811",99.9,8,"556,343","69,542",94.7,16,"1,090,834","68,177",97.2
17,2018,Jaguars,7,"466,719","66,674",98.3,8,"557,310","69,663",92.9,15,"1,024,029","68,268",95.3
18,2018,Patriots,8,"527,024","65,878",100,8,"541,506","67,688",98.4,16,"1,068,530","66,783",99.2
19,2018,Browns,8,"526,122","65,765",97.5,8,"519,319","64,914",94.8,16,"1,045,441","65,340",96.2
20,2018,Dolphins,8,"524,480","65,560",101.2,8,"537,700","67,212",94.5,16,"1,062,180","66,386",97.7
21,2018,Bills,8,"519,695","64,961",90.4,8,"553,204","69,150",97.5,16,"1,072,899","67,056",93.9
22,2018,Titans,8,"516,161","64,520",93.3,7,"491,632","70,233",94.2,15,"1,007,793","67,186",93.7
23,2018,Steelers,8,"507,651","63,456",92.8,8,"532,858","66,607",98.2,16,"1,040,509","65,031",95.5
24,2018,Lions,8,"502,361","62,795",97.4,8,"552,267","69,033",95.2,16,"1,054,628","65,914",96.2
25,2018,AZ Cardinals,8,"496,111","62,013",95.4,8,"522,016","65,252",93.6,16,"1,018,127","63,632",94.5
26,2018,Bears,8,"494,525","61,815",100.5,8,"555,118","69,389",98.2,16,"1,049,643","65,602",99.3
27,2018,Redskins,8,"488,227","61,028",74.4,8,"554,940","69,367",93.6,16,"1,043,167","65,197",83.5
28,2018,Colts,8,"473,598","59,199",94,8,"532,763","66,595",94.3,16,"1,006,361","62,897",94.1
29,2018,Raiders,8,"463,353","57,919",103.4,8,"491,905","61,488",95.6,16,"955,258","59,703",99.3
30,2018,Buccaneers,8,"434,855","54,356",82.8,8,"564,988","70,623",93.8,16,"999,843","62,490",88.7
31,2018,Bengals,8,"406,028","50,753",77.5,8,"505,261","63,157",96.8,16,"911,289","56,955",87.1
32,2018,Chargers,8,"262,145","32,768",121.4,8,"541,411","67,676",96.3,16,"803,556","50,222",103.2
