,GeoName,IndustryClassification,Description,2017
2035,"Nashville-Davidson--Murfreesboro--Franklin, TN",44-45,  Retail trade,8112.3
2036,"Nashville-Davidson--Murfreesboro--Franklin, TN",48-49,  Transportation and warehousing,3594.5
2045,"Nashville-Davidson--Murfreesboro--Franklin, TN",51,  Information,5019.1
2050,"Nashville-Davidson--Murfreesboro--Franklin, TN","52, 53","  Finance, insurance, real estate, rental, and leasing",22989.9
2051,"Nashville-Davidson--Murfreesboro--Franklin, TN",52,   Finance and insurance,7229.9
2056,"Nashville-Davidson--Murfreesboro--Franklin, TN",53,   Real estate and rental and leasing,15776.8
2059,"Nashville-Davidson--Murfreesboro--Franklin, TN","54, 55, 56",  Professional and business services,15911.9
2060,"Nashville-Davidson--Murfreesboro--Franklin, TN",54,"   Professional, scientific, and technical services",
2061,"Nashville-Davidson--Murfreesboro--Franklin, TN",55,   Management of companies and enterprises,
2062,"Nashville-Davidson--Murfreesboro--Franklin, TN",56,   Administrative and support and waste management and remediation services,4771.7
2065,"Nashville-Davidson--Murfreesboro--Franklin, TN","61, 62","  Educational services, health care, and social assistance",15934.2
2066,"Nashville-Davidson--Murfreesboro--Franklin, TN",61,   Educational services,1358.7
2067,"Nashville-Davidson--Murfreesboro--Franklin, TN",62,   Health care and social assistance,14601.1
2071,"Nashville-Davidson--Murfreesboro--Franklin, TN","71, 72","  Arts, entertainment, recreation, accommodation, and food services",6795.6
2072,"Nashville-Davidson--Murfreesboro--Franklin, TN",71,"   Arts, entertainment, and recreation",3067.8
2075,"Nashville-Davidson--Murfreesboro--Franklin, TN",72,   Accommodation and food services,3734.5
2078,"Nashville-Davidson--Murfreesboro--Franklin, TN",81,  Other services (except government and government enterprises),2464.1
2083,"Nashville-Davidson--Murfreesboro--Franklin, TN","11, 21",Natural resources and mining,511.8
2084,"Nashville-Davidson--Murfreesboro--Franklin, TN","42, 44-45",Trade,16228.0
2090,"New Orleans-Metairie, LA",11,"  Agriculture, forestry, fishing, and hunting",
