GeoName,IndustryClassification,Description,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Atlanta-Sandy Springs-Roswell, GA",11,"  Agriculture, forestry, fishing, and hunting",None,None,None,None,None,None,395.9,484.1,538.1,487.7,None
"Atlanta-Sandy Springs-Roswell, GA",21,"  Mining, quarrying, and oil and gas extraction",None,None,None,None,None,None,481.9,None,None,None,602.1
"Atlanta-Sandy Springs-Roswell, GA",22,  Utilities,None,None,None,None,None,None,4398.9,4231,4370.7,4968.1,4726.5
"Atlanta-Sandy Springs-Roswell, GA",23,  Construction,None,None,None,None,None,None,8851.8,None,None,None,13450.2
"Atlanta-Sandy Springs-Roswell, GA",31-33,  Manufacturing,24559.3,22985.7,21824.4,23215.5,24023.3,23224.4,23345,23796.7,23894.8,25197.5,26278.8
"Atlanta-Sandy Springs-Roswell, GA",42,  Wholesale trade,None,None,None,None,None,None,25948,27139,28462.7,28907,29590.6
"Atlanta-Sandy Springs-Roswell, GA",44-45,  Retail trade,16761.3,15912.2,14864.7,15096.6,15265.2,15743.9,16020.6,16611,17678.8,18503,19244.1
"Atlanta-Sandy Springs-Roswell, GA",48-49,  Transportation and warehousing,None,None,None,None,None,None,13043.9,13063.1,13151.4,13831.1,14624.1
"Atlanta-Sandy Springs-Roswell, GA",51,  Information,None,24540.4,None,None,None,None,30992.7,31549.6,35071.7,41025.9,43548.8
"Atlanta-Sandy Springs-Roswell, GA","52, 53","  Finance, insurance, real estate, rental, and leasing",61827.3,60953.5,61189.4,58903.8,60277.9,61491.3,63905.2,68003.5,68083,68199.6,69248.9
"Atlanta-Sandy Springs-Roswell, GA",52,   Finance and insurance,None,None,None,19455.8,None,None,None,None,24401.2,23638.5,24072.5
"Atlanta-Sandy Springs-Roswell, GA",53,   Real estate and rental and leasing,None,None,None,39460.1,None,None,None,None,43557.1,44605.1,45204
"Atlanta-Sandy Springs-Roswell, GA","54, 55, 56",  Professional and business services,39650.9,40556.5,38265.4,38961.9,40754.4,42710.6,43115.6,45865.1,47694.3,48949.1,50492.1
"Atlanta-Sandy Springs-Roswell, GA",54,"   Professional, scientific, and technical services",None,None,None,None,None,None,23995.6,25364.6,26442.1,27321.9,27735
"Atlanta-Sandy Springs-Roswell, GA",55,   Management of companies and enterprises,None,None,None,None,None,None,None,7851.8,8492.7,8567.5,9093.9
"Atlanta-Sandy Springs-Roswell, GA",56,   Administrative and support and waste management and remediation services,11221.5,None,10307.9,None,None,None,None,12681.2,12806,13097.2,13720.6
"Atlanta-Sandy Springs-Roswell, GA","61, 62","  Educational services, health care, and social assistance",16582.1,17233.5,17845.9,17731,18109.8,18624.7,19397.9,19858.4,20524.9,None,None
"Atlanta-Sandy Springs-Roswell, GA",61,   Educational services,None,None,None,None,None,None,3428.8,3500.3,3394.7,None,None
"Atlanta-Sandy Springs-Roswell, GA",62,   Health care and social assistance,None,None,None,None,None,None,15983.1,16373.2,17166.8,17944.7,18646.9
"Atlanta-Sandy Springs-Roswell, GA","71, 72","  Arts, entertainment, recreation, accommodation, and food services",9947.2,9689,8864.6,8980.7,9298.1,9502.7,9174.7,9657.2,9390.7,9529,9866.6
"Atlanta-Sandy Springs-Roswell, GA",71,"   Arts, entertainment, and recreation",None,None,None,None,None,None,None,1822.3,1828.5,1947.3,2075.6
"Atlanta-Sandy Springs-Roswell, GA",72,   Accommodation and food services,None,None,None,None,None,None,None,7834.2,7563.2,7586.2,7798.6
"Atlanta-Sandy Springs-Roswell, GA",81,  Other services (except government and government enterprises),5964.4,5527.5,5244,5096.5,5070.2,5150,5078.6,5145.3,5277.9,5380.9,5536.6
"Atlanta-Sandy Springs-Roswell, GA","11, 21",Natural resources and mining,1042.7,864.2,818.9,761.3,677.7,859.3,882.8,None,None,None,None
"Atlanta-Sandy Springs-Roswell, GA","42, 44-45",Trade,None,None,None,None,None,None,41962.5,43745.6,46133.7,47395.4,48816.9
"Baltimore-Columbia-Towson, MD",11,"  Agriculture, forestry, fishing, and hunting",None,None,None,None,None,None,164.2,138.7,None,175,157
"Baltimore-Columbia-Towson, MD",21,"  Mining, quarrying, and oil and gas extraction",None,None,None,None,None,None,77.9,None,104.3,90.6,134.9
"Baltimore-Columbia-Towson, MD",22,  Utilities,None,None,None,None,None,None,3720.6,3488.1,3361.3,3519.7,3070.6
"Baltimore-Columbia-Towson, MD",23,  Construction,7286.7,6891.5,6137.5,5922.7,5947.3,5980.6,6385.6,None,6631.7,6871.6,6717.6
"Baltimore-Columbia-Towson, MD",31-33,  Manufacturing,9813.9,10139.6,10476.2,10941,10830.1,9916.7,10245.2,9720.9,9135.9,9624.1,10397.2
"Baltimore-Columbia-Towson, MD",42,  Wholesale trade,None,None,None,8107.8,8211.3,8138.7,8367.5,8705.5,9122.2,9164.4,9213.2
"Baltimore-Columbia-Towson, MD",44-45,  Retail trade,8233.8,7776.9,7498.5,7673.7,7801.7,8006.6,7840,7843.1,8107.5,8466,8523.3
"Baltimore-Columbia-Towson, MD",48-49,  Transportation and warehousing,None,None,None,None,None,None,3764.5,3860.7,4072.1,4195.9,4194.2
"Baltimore-Columbia-Towson, MD",51,  Information,5947.3,5817.7,None,5407.2,4514.9,4321.9,5331.3,5122.7,5592.8,6107,6330
"Baltimore-Columbia-Towson, MD","52, 53","  Finance, insurance, real estate, rental, and leasing",29104.9,28034.2,29183.3,30633.6,32212.1,32173.4,31780.3,32535.2,31934.8,33409,33711.3
"Baltimore-Columbia-Towson, MD",52,   Finance and insurance,8081.3,6531.2,7524.1,7466.1,7337.7,7885.6,8500.2,9438.8,9431.5,9363.1,9399.2
"Baltimore-Columbia-Towson, MD",53,   Real estate and rental and leasing,20937,21534.2,21659.1,23176.4,24909.6,24283.7,23209.6,22941,22328.5,23942.4,24215.5
"Baltimore-Columbia-Towson, MD","54, 55, 56",  Professional and business services,18695,19940.2,19652.8,20288.7,21041.3,22407.5,22928.8,23497.3,None,24391.5,24630
"Baltimore-Columbia-Towson, MD",54,"   Professional, scientific, and technical services",12940.9,14075.7,14053.7,14276.5,14812.4,15629.9,15780.5,16078.7,16174.6,None,None
"Baltimore-Columbia-Towson, MD",55,   Management of companies and enterprises,1209.6,1146.3,1086.5,1199.2,1246.1,None,None,None,None,None,None
"Baltimore-Columbia-Towson, MD",56,   Administrative and support and waste management and remediation services,4548,4718.7,4512.5,4814.4,4984,None,None,None,5771.6,5825.3,5904.9
"Baltimore-Columbia-Towson, MD","61, 62","  Educational services, health care, and social assistance",14390.2,15171.1,15693.1,15727.8,16200.8,16373.6,16252.5,16667.9,17042.9,17105.9,17478.4
"Baltimore-Columbia-Towson, MD",61,   Educational services,2873.4,2933.7,3095.2,3134.4,3254.3,3284.6,3082.3,3168,3072,3075.5,3140.5
"Baltimore-Columbia-Towson, MD",62,   Health care and social assistance,11518.3,12237.3,12597.9,12593.3,12946.1,13088.7,13178.7,13508.2,13994.3,14054.6,14362.8
"Baltimore-Columbia-Towson, MD","71, 72","  Arts, entertainment, recreation, accommodation, and food services",5134.7,5159,4760.3,4856.4,4941.7,5284.4,5518.7,5859,5966.1,5979.1,6079.3
"Baltimore-Columbia-Towson, MD",71,"   Arts, entertainment, and recreation",1389.9,1326.5,1322.9,1452.4,1488.9,1576.5,1828.7,2204,2239.6,2288.1,2348.1
"Baltimore-Columbia-Towson, MD",72,   Accommodation and food services,3743.9,3834.4,3437.4,3404.1,3452.9,3707.9,3692.7,3664.3,3735.9,3702,3743.4
"Baltimore-Columbia-Towson, MD",81,  Other services (except government and government enterprises),3592,3467.9,None,3359.7,3354.5,3406.5,3280.3,3329.9,3341.1,3366.3,3425.9
"Baltimore-Columbia-Towson, MD","11, 21",Natural resources and mining,None,None,284.5,259.5,218.8,240.6,242.8,None,None,261.1,285.7
"Baltimore-Columbia-Towson, MD","42, 44-45",Trade,None,None,None,15780.7,16012,16141.3,16208,16552.7,17235.1,17632.5,17739.4
"Boston-Cambridge-Newton, MA-NH",11,"  Agriculture, forestry, fishing, and hunting",None,None,None,None,None,None,None,320.6,340.9,363.9,350.6
"Boston-Cambridge-Newton, MA-NH",21,"  Mining, quarrying, and oil and gas extraction",None,None,None,None,None,None,None,143.5,None,199,None
"Boston-Cambridge-Newton, MA-NH",22,  Utilities,None,None,None,None,None,None,None,None,None,None,None
