,GeoName,IndustryClassification,Description,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
3176,"San Antonio-New Braunfels, TX",51,  Information,5037.2,4754.5,3921.6,3704.9,3821.7,4007.7,4068.9,4133.8,4834.9,5008.2,5039.1
3181,"San Antonio-New Braunfels, TX","52, 53","  Finance, insurance, real estate, rental, and leasing",14105.5,15153.5,14349.4,14490.3,14774.8,15172.2,15326.8,16790.1,17696.5,19195.7,19827.6
3182,"San Antonio-New Braunfels, TX",52,   Finance and insurance,5238.0,5341.5,5871.2,6319.0,6793.9,6681.6,7163.2,7893.4,8859.6,9674.2,9735.4
3187,"San Antonio-New Braunfels, TX",53,   Real estate and rental and leasing,8874.7,9847.7,8478.3,8164.1,7958.0,8485.1,8125.3,8850.4,8729.8,9397.5,9996.7
3190,"San Antonio-New Braunfels, TX","54, 55, 56",  Professional and business services,7979.1,8617.3,8334.4,8653.2,9109.7,9082.4,9478.6,9784.2,10416.9,10515.1,11126.3
3191,"San Antonio-New Braunfels, TX",54,"   Professional, scientific, and technical services",,,4236.2,,,,4646.5,4707.8,5032.1,,5439.0
3192,"San Antonio-New Braunfels, TX",55,   Management of companies and enterprises,,,,,,,1548.0,1582.8,1726.6,,1953.4
3193,"San Antonio-New Braunfels, TX",56,   Administrative and support and waste management and remediation services,,,,,,,3286.6,3499.5,3665.8,3526.2,3749.9
3196,"San Antonio-New Braunfels, TX","61, 62","  Educational services, health care, and social assistance",5987.0,6309.4,6645.0,6834.9,7030.3,7159.4,7305.6,7652.4,8133.6,8524.1,8752.5
3197,"San Antonio-New Braunfels, TX",61,   Educational services,,,,,,,730.7,754.8,750.0,751.4,755.1
3198,"San Antonio-New Braunfels, TX",62,   Health care and social assistance,,,,,,,6576.0,6899.5,7390.7,7784.2,8011.3
3202,"San Antonio-New Braunfels, TX","71, 72","  Arts, entertainment, recreation, accommodation, and food services",4144.4,4155.8,3891.5,3849.4,3944.8,4305.9,4299.4,,4620.2,4611.5,4735.9
3203,"San Antonio-New Braunfels, TX",71,"   Arts, entertainment, and recreation",725.4,740.0,842.4,833.0,757.9,844.6,757.8,,802.0,828.1,889.7
3206,"San Antonio-New Braunfels, TX",72,   Accommodation and food services,3421.6,3418.0,3049.2,3016.4,3186.7,3461.2,3540.0,3829.0,3816.1,3782.4,3847.1
3209,"San Antonio-New Braunfels, TX",81,  Other services (except government and government enterprises),2077.5,2009.7,1960.1,1957.9,1947.8,2023.5,1970.1,2036.2,2108.3,2112.4,2147.9
3214,"San Antonio-New Braunfels, TX","11, 21",Natural resources and mining,2839.1,3175.8,3247.4,3045.2,3310.0,4737.6,7610.0,10226.7,13927.8,13562.0,17621.4
3215,"San Antonio-New Braunfels, TX","42, 44-45",Trade,10889.4,10403.6,10149.7,10396.9,10478.3,11319.1,,,,13491.1,
3221,"San Diego-Carlsbad, CA",11,"  Agriculture, forestry, fishing, and hunting",599.4,559.7,738.8,731.5,449.8,442.3,445.3,394.5,375.5,417.2,372.3
3224,"San Diego-Carlsbad, CA",21,"  Mining, quarrying, and oil and gas extraction",117.8,114.6,89.9,67.4,80.9,102.3,139.1,151.7,102.7,94.5,112.9
3228,"San Diego-Carlsbad, CA",22,  Utilities,2980.3,3522.8,3535.2,3556.9,3729.2,3684.5,3487.7,2739.6,2565.3,2591.4,2317.7
3229,"San Diego-Carlsbad, CA",23,  Construction,9527.0,7281.5,5341.6,5190.2,4793.3,5274.8,5773.6,5821.9,6337.0,6788.1,6836.3
3230,"San Diego-Carlsbad, CA",31-33,  Manufacturing,15675.5,16449.4,15303.6,15748.7,15636.4,16959.8,17238.1,18606.7,20354.4,19708.6,20344.3
3252,"San Diego-Carlsbad, CA",42,  Wholesale trade,8840.5,8852.5,7292.6,7713.7,8220.1,8440.4,8109.4,8581.8,8562.3,8895.0,10750.9
3253,"San Diego-Carlsbad, CA",44-45,  Retail trade,9727.4,8902.9,7905.3,8129.6,8451.7,8911.8,9637.2,9920.0,10200.1,10234.6,10784.6
3254,"San Diego-Carlsbad, CA",48-49,  Transportation and warehousing,1776.1,1824.1,1515.2,1521.6,1534.0,1706.5,1792.8,1716.8,1729.1,1809.9,2005.0
3263,"San Diego-Carlsbad, CA",51,  Information,13100.7,10431.0,7853.3,7368.7,6930.3,6446.4,8101.1,8222.2,8967.8,10387.6,12800.4
