Date,Atlanta,Boston,Charlotte,Chicago,Cleveland,Dallas,Denver,Detroit,Las Vegas,Los Angeles,Miami,Minneapolis,New York,Phoenix,Portland,San Diego,San Francisco,Seattle,Tampa,Washington
1987-01-01,.,70.2669731,63.55902388,54.20647876,54.0573926,.,50.34801697,.,66.41896597,59.42622437,68.5479048,.,74.67844016,.,41.30489123,54.79411151,46.95579249,.,77.44193798,64.41021506
1987-02-01,.,70.64067798,64.02884413,55.22727414,54.22921827,.,50.16046814,.,67.57419833,59.89486089,68.91911889,.,76.043687,.,41.44421455,55.21511853,47.3026748,.,78.10004565,65.13233062
1987-03-01,.,71.0467735,64.10524241,54.8110341,54.36575621,.,50.38347786,.,67.85013171,60.4010732,69.38805199,.,77.23707531,.,41.41524942,55.48780326,47.84021293,.,77.68749498,65.99785281
1987-04-01,.,71.41157143,64.89298972,54.80194738,54.15537017,.,50.74462754,.,68.1860642,61.3243337,69.4634609,.,78.28152688,.,41.2737856,56.04977841,47.9840577,.,77.81997848,66.6387343
1987-05-01,.,71.88271079,65.22278955,55.47746617,54.72619198,.,50.76353788,.,67.92709116,62.03091455,69.74628226,.,79.67533059,.,41.39504641,56.46209863,48.30506513,.,77.96526726,67.44472563
1987-06-01,.,72.29593184,65.56136238,56.0597667,54.88106261,.,50.43233495,.,66.79939446,62.77656363,69.47376119,.,80.83980159,.,41.43339908,56.78755553,48.60578686,.,78.68251215,68.51692345
1987-07-01,.,72.62096441,65.72275349,57.10936653,55.28789155,.,50.20394289,.,65.7629411,63.45610947,69.64166739,.,81.69506699,.,41.55709879,57.07595626,49.08456578,.,78.99299011,69.38716532
1987-08-01,.,73.16291582,65.87299708,57.6122094,55.44447616,.,50.12122158,.,65.03197679,64.13062268,69.80472055,.,82.22005796,.,41.59928226,57.38024737,49.54259201,.,78.94644247,70.25445289
1987-09-01,.,73.74881285,66.27255844,58.270368,55.84210567,.,50.05828124,.,65.2769414,64.89362702,70.56775967,.,82.38397595,.,41.54107872,57.84333098,50.24128781,.,79.04100593,71.39573364
1987-10-01,.,74.00660074,66.59251206,59.00637888,56.12817561,.,50.14607871,.,65.5117159,65.7716042,71.02023013,.,83.1564061,.,41.62933642,58.29568625,50.99269818,.,78.87155035,72.31810419
1987-11-01,.,74.4180682,67.11964735,59.71248845,56.46328129,.,49.73360057,.,66.53024198,66.71255379,71.4249393,.,83.67733133,.,41.57415566,58.90127404,51.64113056,.,79.01729776,73.15863879
1987-12-01,.,74.57960221,67.37729423,61.075388,56.60654566,.,49.85495549,.,66.49194679,67.77770123,71.4584372,.,84.50134781,.,41.80269684,59.40445713,52.22911058,.,79.35967929,73.585563
1988-01-01,.,74.6612365,67.78443277,61.97243658,56.99112841,.,49.55073719,.,66.69670303,68.77691349,71.67894585,.,84.32173034,.,41.83868298,60.01841765,52.70283616,.,79.50253935,74.40191448
1988-02-01,.,74.58935017,67.53386488,63.44648492,57.22353931,.,49.49475181,.,66.42737553,69.71097325,71.82796854,.,84.49117859,.,41.65733589,60.4902857,53.19983707,.,79.43122462,75.28798342
