City,State,Census 2010 Total Population,"2018 Population Estimate (as of July 1, 2018)",2017 ACS 5-Year Population Estimate,Median Age,Number of Companies,Educational Attainment: Percent high school graduate or higher,Count of Governments,Total housing units,Median Household Income,Foreign Born Population,Individuals below poverty level,Race and Hispanic Origin,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races,Hispanic or Latino (of any race),"White alone, Not Hispanic or Latino",Veterans
Cincinnati,OH,"296,943","302,605","298,957",32.4,"26,855",86.80%,N/A,"161,881","36,429","16,378",28.70%,,"150,663","128,105",442,"5,872",399,"3,465","10,011","10,821","144,219","12,790"
Kansas City,MO,"459,787","491,918","476,974",35.2,"39,486",89.10%,N/A,"229,508","50,136","37,090",17.30%,,"287,517","136,927","1,933","13,163",690,"21,173","15,571","48,521","264,602","26,439"
St. Louis,MO,"319,294","302,838","314,867",35.2,"30,040",85.70%,N/A,"176,159","38,664","21,249",25.00%,,"144,506","149,895",887,"9,798",177,"2,991","6,613","12,280","135,150","17,137"
Baltimore,MD,"620,961","602,495","619,796",35,"50,735",84.20%,N/A,"294,858","46,641","49,565",22.40%,,"187,725","389,222","1,886","15,855",309,"10,412","14,387","30,729","170,916","29,428"
Charlotte,NC,"731,424","872,498","826,060",33.9,"81,973",88.60%,N/A,"343,222","58,202","135,701",14.90%,,"413,212","289,406","2,523","51,437",483,"45,268","23,731","115,379","348,789","35,382"
Indianapolis,IN,"820,445","867,125","853,431",34.1,"69,366",85.50%,N/A,"383,677","44,709","79,098",20.10%,,"527,521","239,617","2,299","25,496",372,"32,343","25,783","86,362","477,245","45,024"
Nashville,TN,"601,222","669,053","654,187",34.1,"68,228",87.80%,N/A,"288,871","52,858","83,921",17.20%,,"412,563","181,681","1,845","23,617",437,"17,797","16,247","67,765","363,838","30,865"
Milwaukee,WI,"594,833","592,025","599,086",31.3,"38,017",83.00%,N/A,"257,810","38,289","58,053",27.40%,,"274,202","233,178","3,192","23,888",154,"40,864","23,608","110,388","214,553","22,270"
New Orleans,LA,"343,829","391,006","388,182",35.9,"41,506",85.90%,N/A,"191,633","38,721","22,781",25.40%,,"132,202","232,127",602,"11,567",119,"4,764","6,801","21,448","118,660","16,793"
Buffalo,NY,"261,310","256,304","259,574",32.8,"15,178",83.90%,N/A,"132,066","34,268","24,538",30.90%,,"123,613","96,374","1,139","13,604",86,"14,971","9,787","29,311","114,231","11,964"
Orlando,FL,"238,300","285,713","269,414",33.3,"37,544",90.10%,N/A,"127,869","45,436","53,427",19.10%,,"163,655","70,318",628,"11,645",73,"15,281","7,814","79,890","102,760","11,714"
Portland,OR,"583,776","653,115","630,331",36.8,"75,583",91.80%,N/A,"277,499","61,532","88,203",16.20%,,"487,660","35,929","4,871","49,200","3,914","14,399","34,358","61,214","447,488","30,076"
Columbus,OH,"787,033","892,533","852,144",32.2,"67,994",89.10%,N/A,"385,850","49,478","100,383",20.80%,,"515,163","240,920","1,627","44,715",423,"14,643","34,653","50,707","484,096","40,766"
Salt Lake City,UT,"186,440","200,591","194,188",31.9,"24,710",88.50%,N/A,"83,676","54,009","31,835",17.80%,,"143,072","3,930","2,522","10,429","3,383","24,897","5,955","41,439","127,943","7,260"
San Diego,CA,"1,307,402","1,425,976","1,390,966",34.3,"135,754",87.90%,N/A,"533,973","71,535","366,602",14.50%,,"900,052","88,774","6,094","233,477","5,703","86,463","70,403","417,128","599,633","90,552"
San Antonio,TX,"1,327,407","1,532,233","1,461,623",33.2,"117,546",82.00%,N/A,"540,148","49,711","207,155",18.60%,,"1,170,477","102,197","9,733","40,127","1,462","97,544","40,083","935,458","366,363","105,608"
Sacramento,CA,"466,488","508,529","489,650",34.3,"38,244",84.40%,N/A,"194,917","54,615","110,822",19.80%,,"237,508","65,822","3,503","91,390","8,007","50,316","33,104","138,483","162,206","22,744"
Las Vegas,NV,"583,756","644,644","621,662",37.4,"55,856",84.00%,N/A,"252,912","53,159","131,944",16.20%,,"389,475","76,145","4,091","41,394","4,479","76,183","29,895","203,054","275,845","42,597"
Jacksonville,FL,"821,784","903,889","867,313",35.8,"70,192",89.00%,N/A,"375,556","50,555","91,570",16.40%,,"513,276","269,175","1,875","41,265",850,"12,610","28,262","78,930","455,227","78,455"
Oklahoma City,OK,"579,999","649,021","629,191",34.1,"58,815",85.60%,N/A,"267,357","51,581","75,877",17.10%,,"425,997","91,265","17,542","28,269",465,"24,603","41,050","120,183","340,999","41,183"
Memphis,TN,"646,889","650,618","654,723",33.7,"70,891",84.50%,N/A,"298,310","38,230","41,095",26.90%,,"191,242","418,444","1,259","10,728",123,"22,141","10,786","45,741","170,708","31,931"
Raleigh,NC,"403,892","469,298","449,477",33.1,"43,895",91.50%,N/A,"194,768","61,505","60,032",14.00%,,"265,366","129,711","1,554","20,476",345,"20,520","11,505","49,226","240,400","20,283"
Green Bay,WI,"104,057","104,879","104,796",34,"7,022",87.10%,N/A,"45,038","45,473","9,544",17.20%,,"81,128","3,964","3,654","4,200",16,"6,686","5,148","15,098","74,466","5,587"
