DATE,Atlanta,Boston,Charlotte,Chicago,Cleveland,Dallas-Fort Worth,Denver,Detroit,Las Vegas,Los Angeles,Miami-Fort Lauderdale,Minneapolis-St. Paul,New York City,Phoenix,Portland,San Diego,San Francisco Bay Area,Seattle,Tampa Bay Area,Washington
2007-01-01,134.983958531863,170.576636707103,130.778761185766,168.265475336234,120.08812373253201,124.503907743459,137.596899755145,118.163902158279,231.940076015704,270.80457741489,278.943335480275,168.73169202759,212.911067430658,221.42367745100103,181.906274714381,240.15312607647098,214.623691031175,186.38407922575,229.75838698240105,241.411115729924
2007-02-01,135.605880773489,171.280331391743,131.30742565819202,169.482607012149,120.326530238267,125.21970345048099,137.40731248079598,117.881755719809,231.79969985016498,270.136815071068,279.79022837973304,169.597117667773,213.31353958638095,220.868566258778,183.062882608339,238.904759392091,214.88331673868,188.017678428638,230.43982914001202,241.80039937277095
2007-03-01,135.862807683023,171.851498570625,132.069236087202,171.278048345332,120.443729321334,125.442378846501,136.981312976874,118.591048804988,231.233357611301,268.74755008271,278.60453795125596,169.983669145855,214.250118542444,220.15089541750197,185.074648731269,236.62546946070597,215.320192444097,189.545764541348,229.577105899594,241.452533275938
2007-04-01,136.122997808036,171.65278724726699,132.871209977605,168.767682567068,119.242069508757,125.664092445255,136.55778885978398,116.675152200651,228.68848562728002,266.429317421426,276.11458113553,169.88676075691998,213.61205846835,218.161452720159,185.441005100962,234.646624604995,213.530872580286,189.95840598925,226.67631423916802,238.580281935654
2007-05-01,135.406204050985,170.934290457412,133.216772897092,167.370481079563,118.46564240896099,125.24126590448601,136.783930351423,113.97474023680599,226.01300894445203,264.244583065607,270.965281488148,167.457517648817,211.877174333634,215.575132167821,185.378188606772,232.375245428896,210.77501463022,190.52427607479,223.084834392862,235.839558357089
2007-06-01,134.892023243751,169.706784778844,133.649666125348,165.97397517458901,117.14332458830799,124.93561058143699,136.823199968274,111.474718402718,222.13599850153,261.322837871709,266.106452568165,164.821289078108,209.70824195064705,212.654074158428,184.62769242479698,229.909039841157,207.966059240196,190.38157812764703,219.44259557680698,232.44611068024
2007-07-01,134.091731391944,169.228779551937,133.6784732094,164.649853422385,116.749997011936,124.14374629372499,136.956929740023,111.070771967514,219.112102020526,258.488890950041,260.118824007103,162.852182259033,207.774924209598,209.408749002268,184.205991796979,226.670645683185,205.566826278819,190.198617161836,215.46767060651402,229.309329168116
2007-08-01,133.562784076547,167.986483614443,133.86461307765498,162.940269861263,115.78651600937599,123.996526430742,136.834515350059,109.742704885788,214.88284983511502,254.848363880969,253.965432363117,161.25024519044902,205.373375002757,206.331305344824,183.468887612006,223.587367957533,204.51667849146,189.577409283653,211.131142614654,226.418288348098
2007-09-01,133.04571770629698,168.040397559142,133.680464402521,161.40019143664802,115.459160649872,123.72939863933,136.215745481647,108.511838921747,211.05327753794398,251.299420626195,248.347026966543,159.817904085256,204.866961131702,203.068854050779,183.25428721042,219.803297938172,203.115341990717,189.14674271753103,207.49340153491798,225.91240747012
2007-10-01,132.67042772443997,167.412418763706,133.49505818694098,160.303233366712,114.619038316973,123.50073133392999,134.750014106812,106.554976247603,206.318483839973,247.00676064717098,243.02592242457803,158.514791745441,203.959278913685,198.027023787627,183.169292135,215.381254958959,199.647468449538,187.87548072779097,204.737379855623,225.43576843554402
2007-11-01,131.36278607215098,166.95731149589898,132.90843348845502,159.62693840061598,112.89779018570499,122.410999921036,133.016704074995,104.165921801348,200.74024002369495,239.234641866284,236.41529905978697,156.520717442178,203.296160757383,192.428083482933,182.584758746683,209.10889578003398,194.695478981096,186.460894404665,202.05141548794103,223.017560123208
2007-12-01,130.44213135726102,165.528086667516,133.0079189908,159.351481849821,112.300099673608,121.787798409881,131.60740895066098,102.454209403741,195.97288797439097,233.11406750051398,230.584208077738,154.50149791936002,201.719399195763,186.895006812582,182.638855237499,203.47016855243302,189.99331313815497,185.732511734524,199.533474427085,219.23714633134
2008-01-01,129.699203065859,164.752558973089,133.241935684433,157.528627209009,110.087565739968,120.57823573754601,130.93720409878,100.37848848202101,186.867554701739,226.111605863111,225.022122045582,152.050111421157,200.804878928848,181.120205461918,181.085320067164,199.93681032293202,186.633719497322,184.466083136136,195.858366273856,215.656498087584
2008-02-01,128.705728389944,163.528447094233,133.483472889597,155.969418113178,109.648977259673,120.37643402283899,130.257913443099,98.644815199818,178.606044066946,217.77187125327202,219.162305844477,149.082454718002,199.444614977521,175.055240974834,179.63895324154495,193.18811693212,178.852234415513,183.542111456704,190.778636003358,211.67349107295502
2008-03-01,127.49599589709601,162.222683902769,133.22264042916402,155.244203260609,109.440159181486,121.466358343897,130.351413458971,97.92413065274201,171.193964548123,210.58138569817,210.77644730424598,146.962389938764,198.83065170490397,169.708826091412,178.00160852964402,188.04301525134602,172.56968020410702,181.730968547994,185.19562661314603,207.68322248379798
2008-04-01,125.601901520983,160.95969030914,132.772068474566,153.931746075843,111.272304619312,121.47553102529899,130.190631185477,96.26818073943001,167.256651926702,205.10065134482102,202.90976338268501,144.63133275648002,197.155954073083,163.920656168431,177.005036780094,182.183958972515,166.735940719122,180.76160126348802,180.890840313391,203.7338292386
2008-05-01,124.627306009698,160.57683103204,132.890020562803,152.007969442681,108.971021502729,121.299409531196,130.123142766912,94.587527866951,162.13428002841005,199.43308441624401,194.51051036359902,143.41084437783002,195.841909194049,158.540174670807,175.626952751211,178.50354183556198,162.55933162428698,178.422244958569,178.067226109326,199.86560434605
2008-06-01,123.079133846549,160.547098594624,131.928830060844,149.95963397115,108.295872949626,120.739952111809,130.185374018769,93.363442139702,159.191256016003,195.133590870564,190.769089882443,141.866461411826,194.84042443296002,153.23112875926398,173.859522459612,174.35069777374,158.50135600993798,176.61026681310398,174.93491568142898,196.175392373502
2008-07-01,121.93946907680201,159.67346542266898,131.167875386959,147.545624116316,107.217626071804,120.81451716775899,130.233262189106,92.301171614632,154.27126420981898,190.676209507816,186.216804779907,140.906836676339,192.56411796770402,147.998904071079,171.73559872412702,169.86199235946302,154.105132130538,174.216632261391,173.149475164833,192.712607966555
2008-08-01,121.095584981954,159.491561325096,129.970235590768,145.939010842147,107.717161550599,120.54088797733999,129.611567187302,90.41552837384701,149.692843393835,186.649165399837,182.013900363274,138.40647743224,191.070942970513,142.987108643514,169.262066996186,165.739648926446,148.159256343706,172.532743209963,172.32145914461205,190.438477489776
