DATE,MIXRSA,MNXRSA,NYXRSA,PHXRSA,POXRSA,SDXRSA,SFXRSA,SEXRSA,TPXRSA,WDXRSA
1987-01-01,68.547904803047,.,74.678440161608,.,41.304891231601,54.79411150896401,46.955792489659004,.,77.44193797795201,64.410215062129
1987-02-01,68.919118886508,.,76.043687003134,.,41.444214554768,55.215118533472996,47.302674799207004,.,78.10004565498801,65.132330619397
1987-03-01,69.388051991249,.,77.237075313105,.,41.415249417728,55.487803264105,47.840212928966,.,77.68749498418299,65.997852810846
1987-04-01,69.46346089881,.,78.281526875582,.,41.273785604279,56.049778406565,47.984057701756,.,77.819978481068,66.638734303828
1987-05-01,69.746282258685,.,79.675330593957,.,41.395046412498004,56.4620986304,48.305065129391004,.,77.965267256359,67.444725631397
1987-06-01,69.47376118995999,.,80.839801590225,.,41.433399078254,56.787555534304,48.605786861179,.,78.682512152046,68.516923450951
1987-07-01,69.641667391394,.,81.695066988832,.,41.557098789442,57.075956261706,49.084565779988004,.,78.992990112208,69.387165324854
1987-08-01,69.804720549259,.,82.220057957436,.,41.599282255807,57.380247366171,49.542592009624,.,78.946442472911,70.25445289451
1987-09-01,70.567759665368,.,82.383975949881,.,41.541078719690006,57.843330978824994,50.2412878147,.,79.041005925493,71.39573363726599
1987-10-01,71.020230134941,.,83.1564060951,.,41.629336419661996,58.295686249381,50.992698180037,.,78.87155034884401,72.318104192893
1987-11-01,71.424939302393,.,83.67733133226301,.,41.574155664859,58.901274039166005,51.641130556381995,.,79.017297757476,73.15863879252
1987-12-01,71.458437196466,.,84.501347807948,.,41.802696838757,59.404457132088005,52.229110582827,.,79.359679292797,73.585563003333
1988-01-01,71.67894585036,.,84.32173033799,.,41.838682979943,60.018417654184,52.702836164853004,.,79.5025393452,74.401914477372
1988-02-01,71.827968544959,.,84.491178585526,.,41.657335886135996,60.490285698618,53.199837070369995,.,79.431224622683,75.287983419035
1988-03-01,72.345565907163,.,84.47672472229999,.,42.243793248726,61.284490173589,53.866209706254,.,79.244850731271,76.394745590772
1988-04-01,72.718773914751,.,84.690318832611,.,42.425377929775,61.444261953922,54.534047187591,.,79.66342126415499,77.301874031587
1988-05-01,73.102562089518,.,84.762427084387,.,42.743660872877,61.84520489424501,56.067376742114,.,79.95213070360501,78.379850438605
1988-06-01,73.71199915695699,.,84.59877172814001,.,42.709410041071,61.443358227198,57.881818387134,.,80.175665421768,79.34078879804
1988-07-01,74.107818359332,.,84.503519630325,.,42.841844452624,64.588123450727,58.174426410619,.,80.51170933572601,80.775112487384
1988-08-01,74.682316064153,.,84.593564561931,.,43.198507160663006,65.29032798379001,58.49688496153401,.,80.706376613592,81.928750222157
1988-09-01,75.248978814323,.,84.576220953035,.,43.429700318725004,66.07932755833299,58.936924509437,.,80.62686948619,83.157659202406
1988-10-01,75.59607437572,.,84.479214867618,.,43.744456768309995,67.175760420832,59.950319222301,.,80.732963234007,83.674242436366
1988-11-01,75.959227661067,.,84.490912774117,.,43.950578639704,68.42762614788,61.105586443502,.,80.61206605994799,84.632639431778
1988-12-01,76.219005425927,.,84.37502816418801,.,44.212291339018,69.831435499985,62.465814159287994,.,80.900106189986,85.92852609181699
1989-01-01,76.582983197241,63.492802891014,84.48241826793101,67.567862361537,44.481171972073,71.172723813049,63.288489841422994,.,80.564569438196,86.868957425479
1989-02-01,76.993996162073,63.152407082686004,84.265988249706,67.621024998193,44.796596084471,72.762942815842,64.057740522953,.,80.988475789735,87.802266628933
1989-03-01,77.175580516431,62.693472035997,84.194661618621,67.923986331763,45.004700472104,74.482881700343,65.561702975651,.,81.611619209791,88.618967947875
1989-04-01,77.548665456198,63.083199264998996,83.880870601963,67.965016446797,45.35005245931,75.805259800236,66.696525836939,.,81.96956190895,89.325237473085
1989-05-01,77.567304584092,63.184289848384,83.49424862531299,68.068567158498,45.61278010003,77.050349538929,67.703283862443,.,82.350764072565,89.77712680602801
1989-06-01,77.80834046888,63.742821252381,82.94658527935199,67.695913886388,46.019388291228,78.136649148959,68.784367143576,.,81.957113944523,90.20321283775499
1989-07-01,78.042408857569,63.556228895495,82.171286374768,67.340460473657,46.255814049041994,79.030233996995,69.591281163585,.,81.867957004605,90.707731394091
1989-08-01,78.259921135432,63.798456057648,81.93614834383,66.94764413975099,46.586600194825,80.09519053579001,70.715737930033,.,81.235059346203,91.36515778671
1989-09-01,78.250320730112,63.89329870663,81.537176077352,66.82268148756799,46.929072982164,81.10219655797,71.59164011402099,.,81.669888257932,91.927281744566
1989-10-01,78.378224437159,64.120992378165,81.788161142493,66.560192291078,47.351560618403,82.059979109382,72.42559090074,.,81.943190131095,92.190256823411
1989-11-01,78.323958458831,64.395442638732,81.550345495022,66.49372031904299,47.756722380642,82.709104172801,73.015228797766,.,82.296508886506,92.382465870594
1989-12-01,78.722797677161,64.386099360653,81.343846806456,66.501088244971,48.714015217724,83.572869701604,73.394917535224,.,82.14841417856,92.840752653287
1990-01-01,79.16609822342801,64.224864429118,81.03500328091799,66.579708053952,49.645337478361995,84.078260311918,73.64250639981,58.885274469363004,82.431568630753,93.362854790073
1990-02-01,79.66911513910999,64.00564203845,80.98286107274801,66.70474737712,50.571390045517,84.737413089853,73.822604210509,60.961883083287,82.74408348151,93.664526485476
1990-03-01,79.534698139609,64.22549797423001,80.80771442570699,66.639999390122,50.767786313339,85.12685695876199,74.595008943752,62.952979796022994,83.12290334555,93.605137871671
1990-04-01,79.44380215438001,64.471097580852,80.213069716589,66.780148738879,51.461537594519996,85.54542223527,75.065394671585,65.45715558139399,82.748281187608,93.585533952806
