DATE,ATXRSA,BOXRSA,CRXRSA,CHXRSA,CEXRSA,DAXRSA,DNXRSA,DEXRSA,LVXRSA,LXXRSA
1999-12-01,99.926249918368,100.358313071808,100.19934399398001,100.1432562074,100.050911755326,.,99.66617857455299,99.477957148312,99.852351672374,100.329648553949
2000-01-01,100.378206575765,100.91981650482501,100.66513344824301,100.56483944475201,100.53137663796998,100.713355831124,100.66301408510401,100.14562493199101,100.401379141147,101.03120942740101
2000-02-01,101.289722071065,101.894221059541,101.1032566225,101.411386005238,100.50903197496599,103.03731502774099,101.65254727743401,100.876063760849,100.904481931657,102.043406408321
2000-03-01,101.675541843288,102.651010587658,101.135670693722,102.427759788594,101.166613915105,102.709026688395,102.735591192508,101.374340516815,101.43748302384701,103.22469936821999
2000-04-01,102.703145276462,104.347652009331,102.27121699814501,103.41119207208901,101.738233651665,103.276754222442,103.543432356893,101.76430335196301,101.595700539671,104.159398946222
2000-05-01,103.267302466194,106.00954178023399,102.243820241822,104.391107824524,102.158956274595,103.71539227087099,105.302250281249,102.578367615849,102.046929424335,104.92469770121201
2000-06-01,104.13688556722401,107.93027204783701,102.693928730112,105.509361023029,102.041036846161,103.615357064123,106.90806821156,103.275347585221,102.278476694905,105.693406817732
2000-07-01,104.31681500374201,108.92452824190201,102.250464327453,106.031141171381,101.92993750949199,104.04821433998,108.299132490081,103.99188002342599,102.673478684545,106.32468702452
2000-08-01,104.70067098893298,110.129176124704,102.524729490469,106.42251751471201,102.19328917568701,104.357798665227,109.29962358260401,104.226072844594,103.22200111851299,106.966632472043
2000-09-01,104.778692673568,111.370849465804,102.516441430947,106.710102271421,102.51897885154499,105.076230124286,110.551433903819,104.652181291574,103.89368042037901,107.88678724636401
2000-10-01,105.422361333951,112.96942314596501,102.85673497544902,106.97782920684,103.202904028567,105.511330791927,111.72795275537099,105.06157127179199,104.67543699752399,108.80865725059
2000-11-01,106.037877466845,114.770250974177,103.17505946573,107.472285895948,103.557028433774,106.28345964312,113.098569528025,106.09464941606701,105.03595546876998,109.98391933270399
2000-12-01,106.575619145392,116.95049456263901,103.004860953355,108.149483106903,104.220121725474,106.56594877880501,114.540561712917,106.679430400733,105.51923162871901,110.716005700985
